Waveform Data,,Waveform Data,
-2.17E-06,0.72,-2.17E-06,4
-2.17E-06,0.72,-2.17E-06,4
-2.17E-06,0.72,-2.17E-06,4
-2.17E-06,0.72,-2.17E-06,4
-2.17E-06,0.72,-2.17E-06,4
-2.17E-06,0.72,-2.17E-06,4
-2.16E-06,0.72,-2.16E-06,4
-2.16E-06,0.64,-2.16E-06,4
-2.16E-06,0.72,-2.16E-06,4
-2.16E-06,0.72,-2.16E-06,8
-2.16E-06,0.72,-2.16E-06,4
-2.16E-06,0.72,-2.16E-06,8
-2.16E-06,0.72,-2.16E-06,4
-2.16E-06,0.72,-2.16E-06,8
-2.16E-06,0.72,-2.16E-06,4
-2.16E-06,0.72,-2.16E-06,4
-2.15E-06,0.72,-2.15E-06,4
-2.15E-06,0.72,-2.15E-06,4
-2.15E-06,0.72,-2.15E-06,4
-2.15E-06,0.64,-2.15E-06,4
-2.15E-06,0.72,-2.15E-06,4
-2.15E-06,0.72,-2.15E-06,8
-2.15E-06,0.72,-2.15E-06,4
-2.15E-06,0.72,-2.15E-06,4
-2.15E-06,0.72,-2.15E-06,4
-2.15E-06,0.72,-2.15E-06,4
-2.14E-06,0.72,-2.14E-06,4
-2.14E-06,0.72,-2.14E-06,4
-2.14E-06,0.72,-2.14E-06,4
-2.14E-06,0.72,-2.14E-06,4
-2.14E-06,0.72,-2.14E-06,4
-2.14E-06,0.72,-2.14E-06,4
-2.14E-06,0.72,-2.14E-06,4
-2.14E-06,0.72,-2.14E-06,8
-2.14E-06,0.72,-2.14E-06,4
-2.14E-06,0.72,-2.14E-06,8
-2.13E-06,0.72,-2.13E-06,4
-2.13E-06,0.72,-2.13E-06,4
-2.13E-06,0.72,-2.13E-06,4
-2.13E-06,0.72,-2.13E-06,4
-2.13E-06,0.72,-2.13E-06,4
-2.13E-06,0.72,-2.13E-06,4
-2.13E-06,0.72,-2.13E-06,4
-2.13E-06,0.72,-2.13E-06,4
-2.13E-06,0.72,-2.13E-06,4
-2.13E-06,0.72,-2.13E-06,4
-2.12E-06,0.72,-2.12E-06,4
-2.12E-06,0.72,-2.12E-06,4
-2.12E-06,0.72,-2.12E-06,4
-2.12E-06,0.72,-2.12E-06,4
-2.12E-06,0.72,-2.12E-06,4
-2.12E-06,0.72,-2.12E-06,4
-2.12E-06,0.72,-2.12E-06,4
-2.12E-06,0.72,-2.12E-06,4
-2.12E-06,0.72,-2.12E-06,4
-2.12E-06,0.72,-2.12E-06,4
-2.11E-06,0.72,-2.11E-06,4
-2.11E-06,0.72,-2.11E-06,4
