7.350048354033e-09	4.003222781140e+02
7.450049115482e-09	4.003793106560e+02
7.550049876932e-09	4.004353916480e+02
7.650050638381e-09	4.004903795950e+02
7.750051399830e-09	4.005420772400e+02
7.850052161280e-09	4.005917842130e+02
7.950052922729e-09	4.006398585680e+02
8.050053684178e-09	4.006863470000e+02
8.150054445628e-09	4.007311953490e+02
8.250055207077e-09	4.007743187450e+02
8.350055968526e-09	4.008156251130e+02
8.450056729976e-09	4.008550231340e+02
8.550057491425e-09	4.008924250420e+02
8.650058252874e-09	4.009277476720e+02
8.750059014324e-09	4.009609129410e+02
8.850059775773e-09	4.009918481090e+02
8.950060537222e-09	4.010204859760e+02
9.050061298672e-09	4.010467650330e+02
9.150062060121e-09	4.010706296050e+02
9.250062821570e-09	4.010920299600e+02
9.350063583020e-09	4.011109224220e+02
9.450064344469e-09	4.011272694480e+02
9.550065105918e-09	4.011410397130e+02
9.650065867368e-09	4.011522081560e+02
9.750066628817e-09	4.011607560310e+02
9.850067390266e-09	4.011666709320e+02
9.950068151716e-09	4.011699468040e+02
1.005006891316e-08	4.011705839440e+02
1.015006967461e-08	4.011685889790e+02
1.025007043606e-08	4.011639748340e+02
1.035007119751e-08	4.011567606880e+02
1.045007195896e-08	4.011469719080e+02
1.055007272041e-08	4.011346399710e+02
1.065007348186e-08	4.011198023770e+02
1.075007424331e-08	4.011025025400e+02
1.085007500476e-08	4.010827896700e+02
1.095007576621e-08	4.010607186390e+02
1.105007652766e-08	4.010363498380e+02
1.115007728911e-08	4.010097490140e+02
1.125007805056e-08	4.009809871030e+02
1.135007881201e-08	4.009501400440e+02
1.145007957346e-08	4.009172885860e+02
1.155008033491e-08	4.008825182180e+02
1.165008109635e-08	4.008437278810e+02
1.175008185780e-08	4.008023885200e+02
1.185008261925e-08	4.007590668810e+02
1.195008338070e-08	4.007140314960e+02
1.205008414215e-08	4.006674541050e+02
1.215008490360e-08	4.006194406610e+02
1.225008566505e-08	4.005701622110e+02
1.235008642650e-08	4.005197503400e+02
1.245008718795e-08	4.004683392330e+02
1.255008794940e-08	4.004160653330e+02
1.265008871085e-08	4.003630669820e+02
1.275008947230e-08	4.003094840620e+02
1.285009023375e-08	4.002554576330e+02
1.295009099520e-08	4.002011295610e+02
1.305009175665e-08	4.001466421560e+02
1.315009251809e-08	4.000921378010e+02
1.325009327954e-08	4.000377585840e+02
1.335009404099e-08	3.999836692850e+02
1.345009480244e-08	3.999299633450e+02
1.355009556389e-08	3.998768033180e+02
1.365009632534e-08	3.998243264740e+02
1.375009708679e-08	3.997726679890e+02
